item_id,titulo,preco,moeda,descricao_original,descricao_pt,descricao_en,descricao_es,descricao_fr,url,numero_imagens,ficheiros_imagens,sellerEmail,category,subCategory,condition,auctionFormat,duration,shippingOption,shippingCost,returnPolicy,locationCity,locationCountry
9950291557,Yves Saint Laurent vintage blazer,135,EUR,"armpit to armpit 47cm
waist 40cm
length 70cm
conditions as photos","Axila a axila: 47 cm
Cintura: 40 cm
Comprimento: 70 cm
Estado conforme as fotografias.","Armpit to armpit: 47 cm
Waist: 40 cm
Length: 70 cm
Condition as shown in the photos.","De axila a axila: 47 cm
Cintura: 40 cm
Largo: 70 cm
Estado según las fotos.","Aisselle à aisselle : 47 cm
Taille : 40 cm
Longueur : 70 cm
État conforme aux photos.",https://www.vinted.pt/items/9950291557-yves-saint-laurent-vintage-blazer,5,vinted_export/images/9950291557/01.webp | vinted_export/images/9950291557/02.webp | vinted_export/images/9950291557/03.webp | vinted_export/images/9950291557/04.webp | vinted_export/images/9950291557/05.webp,pt.bidnow@gmail.com,collectibles,Fashion,Used - Excellent,best-offer,30 days,flat-rate,15,no-returns,Lisboa,PT
9865370815,"Saint Laurent YSL monogramos bőr pénztárca karamellbarna színben, dobozzal",138,EUR,"Karamellbarna, chevron steppelt pénztárca aranyszínű YSL logóval. A képeken látható dobozzal együtt adom. Egy ideje csak félre van téve, közben változott a mindennapi","Carteira castanho-caramelo, acolchoada em chevron, com logótipo YSL dourado. Entrego-a com a caixa visível nas fotografias. Está guardada há algum tempo; entretanto, o uso no dia a dia mudou.","Caramel-brown chevron-quilted wallet with a gold-tone YSL logo. I am selling it with the box shown in the photos. It has been put aside for some time; meanwhile, my everyday use has changed.","Cartera marrón caramelo, acolchada en chevron, con logotipo YSL dorado. La entrego con la caja que aparece en las fotos. Lleva un tiempo guardada; entretanto, ha cambiado mi uso diario.","Portefeuille marron caramel matelassé chevron avec logo YSL doré. Je le vends avec la boîte visible sur les photos. Il est resté de côté depuis quelque temps ; entre-temps, mon usage quotidien a changé.",https://www.vinted.pt/items/9865370815-saint-laurent-ysl-monogramos-bor-penztarca-karamellbarna-szinben-dobozzal,5,vinted_export/images/9865370815/01.webp | vinted_export/images/9865370815/02.webp | vinted_export/images/9865370815/03.webp | vinted_export/images/9865370815/04.webp | vinted_export/images/9865370815/05.webp,pt.bidnow@gmail.com,collectibles,Fashion,Used - Excellent,best-offer,30 days,flat-rate,15,no-returns,Lisboa,PT
9941354419,Yves Saint Laurent Cabas Y noir cuir souple accastillage doré,450,EUR,"Sac Yves Saint Laurent Cabas Y en cuir noir souple avec accastillage doré et fermoir signature en forme de Y sur le devant. Grand format très pratique, avec deux anses, fermeture zippée sur le dessus et poche intérieure zippée.

Très bon état. Vendu avec son dust bag Yves Saint Laurent.

Prix d'achat : 1 500 € 

Envoi le 23 septembre (j’habite Londres et expédierai lors de mon retour à Paris à cette date).","Mala Yves Saint Laurent Cabas Y em pele preta macia, com ferragens douradas e fecho assinatura em forma de Y na parte da frente. Formato grande e muito prático, com duas asas, fecho de correr na parte superior e bolso interior com fecho.

Muito bom estado. Vendida com o respetivo dust bag Yves Saint Laurent.

Preço de compra: 1 500 €.

Envio a 23 de setembro (vivo em Londres e enviarei quando regressar a Paris nessa data).","Yves Saint Laurent Cabas Y bag in soft black leather with gold-tone hardware and the signature Y-shaped clasp on the front. Very practical large size, with two handles, a top zip closure and an interior zipped pocket.

Very good condition. Sold with its Yves Saint Laurent dust bag.

Purchase price: €1,500.

Shipping on 23 September (I live in London and will ship when I return to Paris on that date).","Bolso Yves Saint Laurent Cabas Y de piel negra suave, con herrajes dorados y cierre distintivo en forma de Y en la parte delantera. Formato grande y muy práctico, con dos asas, cierre de cremallera superior y bolsillo interior con cremallera.

Muy buen estado. Se vende con su guardapolvo Yves Saint Laurent.

Precio de compra: 1.500 €.

Envío el 23 de septiembre (vivo en Londres y lo enviaré cuando vuelva a París en esa fecha).","Sac Yves Saint Laurent Cabas Y en cuir noir souple avec accastillage doré et fermoir signature en forme de Y sur le devant. Grand format très pratique, avec deux anses, fermeture zippée sur le dessus et poche intérieure zippée.

Très bon état. Vendu avec son dust bag Yves Saint Laurent.

Prix d'achat : 1 500 €.

Envoi le 23 septembre (j’habite Londres et expédierai lors de mon retour à Paris à cette date).",https://www.vinted.pt/items/9941354419-yves-saint-laurent-cabas-y-noir-cuir-souple-accastillage-dore,5,vinted_export/images/9941354419/01.webp | vinted_export/images/9941354419/02.webp | vinted_export/images/9941354419/03.webp | vinted_export/images/9941354419/04.webp | vinted_export/images/9941354419/05.webp,pt.bidnow@gmail.com,collectibles,Fashion,Used - Excellent,best-offer,30 days,flat-rate,15,no-returns,Lisboa,PT
9885603804,Ysl small hobo bag,660,EUR,Ysl small hobo bag,Mala hobo YSL pequena.,Small YSL hobo bag.,Bolso hobo YSL pequeño.,Petit sac hobo YSL.,https://www.vinted.pt/items/9885603804-ysl-small-hobo-bag,5,vinted_export/images/9885603804/01.webp | vinted_export/images/9885603804/02.webp | vinted_export/images/9885603804/03.webp | vinted_export/images/9885603804/04.webp | vinted_export/images/9885603804/05.webp,pt.bidnow@gmail.com,collectibles,Fashion,Used - Excellent,best-offer,30 days,flat-rate,15,no-returns,Lisboa,PT
7247312952,Yves Saint Laurent Perfume Libre YSL,45,EUR,Botella de EAU de Parfum de Yves Saint Laurent. Nuevo en packaging sin abrir. 50ml. Envío rápido,"Frasco de Eau de Parfum Yves Saint Laurent. Novo, na embalagem fechada. 50 ml. Envio rápido.",Yves Saint Laurent Eau de Parfum bottle. New in unopened packaging. 50 ml. Fast shipping.,"Botella de Eau de Parfum de Yves Saint Laurent. Nueva, en el embalaje sin abrir. 50 ml. Envío rápido.","Flacon d’Eau de Parfum Yves Saint Laurent. Neuf, dans son emballage non ouvert. 50 ml. Envoi rapide.",https://www.vinted.pt/items/7247312952-yves-saint-laurent-perfume-libre-ysl,5,vinted_export/images/7247312952/01.webp | vinted_export/images/7247312952/02.webp | vinted_export/images/7247312952/03.webp | vinted_export/images/7247312952/04.webp | vinted_export/images/7247312952/05.webp,pt.bidnow@gmail.com,collectibles,Fashion,Used - Excellent,best-offer,30 days,flat-rate,15,no-returns,Lisboa,PT
9941845336,Veste vintage noire Yves saint Laurent,160,EUR,"Superbe veste vintage noire boutons dorés 
Yves saint Laurent variation 
Conviens à du L","Magnífico casaco vintage preto com botões dourados.
Yves Saint Laurent Variation.
Adequado para tamanho L.","Superb vintage black jacket with gold-tone buttons.
Yves Saint Laurent Variation.
Fits a size L.","Preciosa chaqueta vintage negra con botones dorados.
Yves Saint Laurent Variation.
Adecuada para talla L.","Superbe veste vintage noire à boutons dorés.
Yves Saint Laurent Variation.
Convient à une taille L.",https://www.vinted.pt/items/9941845336-veste-vintage-noire-yves-saint-laurent,5,vinted_export/images/9941845336/01.webp | vinted_export/images/9941845336/02.webp | vinted_export/images/9941845336/03.webp | vinted_export/images/9941845336/04.webp | vinted_export/images/9941845336/05.webp,pt.bidnow@gmail.com,collectibles,Fashion,Used - Excellent,best-offer,30 days,flat-rate,15,no-returns,Lisboa,PT
9886728673,YSL - occhiale da sole nero Saint Laurent SL 816 001,69.99,EUR,occhiale da sole nero Saint Laurent SL 816 001 - mai utilizzato!,Óculos de sol pretos Saint Laurent SL 816 001 — nunca usados!,Black Saint Laurent SL 816 001 sunglasses — never used!,Gafas de sol negras Saint Laurent SL 816 001 — ¡nunca usadas!,Lunettes de soleil noires Saint Laurent SL 816 001 — jamais utilisées !,https://www.vinted.pt/items/9886728673-ysl-occhiale-da-sole-nero-saint-laurent-sl-816-001,5,vinted_export/images/9886728673/01.webp | vinted_export/images/9886728673/02.webp | vinted_export/images/9886728673/03.webp | vinted_export/images/9886728673/04.webp | vinted_export/images/9886728673/05.webp,pt.bidnow@gmail.com,collectibles,Fashion,Used - Excellent,best-offer,30 days,flat-rate,15,no-returns,Lisboa,PT
9917954219,Yves Saint Laurent Heeled Sandals Zwart maat 38,115,EUR,"Mooie Saint Laurent instappers met hak in maat 38. Zijn enkele keren gebruikt en hierdoor wat beschadigd, maar zeker nog in goede staat. Nieuwprijs was 650€","Bonitos mocassins Saint Laurent com salto, tamanho 38. Foram usados algumas vezes e, por isso, apresentam alguns sinais de desgaste, mas continuam em bom estado. O preço novo era 650 €.","Beautiful Saint Laurent heeled loafers in size 38. They have been worn a few times and therefore show some wear, but are still in good condition. The original retail price was €650.","Bonitos mocasines Saint Laurent con tacón, talla 38. Se han usado algunas veces y por ello presentan algo de desgaste, pero siguen en buen estado. El precio nuevo era de 650 €.","Beaux mocassins Saint Laurent à talon, taille 38. Portés quelques fois et présentant donc quelques traces d’usure, mais toujours en bon état. Prix neuf : 650 €.",https://www.vinted.pt/items/9917954219-yves-saint-laurent-heeled-sandals-zwart-maat-38,5,vinted_export/images/9917954219/01.webp | vinted_export/images/9917954219/02.webp | vinted_export/images/9917954219/03.webp | vinted_export/images/9917954219/04.webp | vinted_export/images/9917954219/05.webp,pt.bidnow@gmail.com,collectibles,Fashion,Used - Excellent,best-offer,30 days,flat-rate,15,no-returns,Lisboa,PT
9642476917,Jupe évasée Yves Saint Laurent en laine bleu marine vintage authentique,55,EUR,"Authentique jupe évasée Yves Saint Laurent, cette pièce incarne l'élégance intemporelle avec sa coupe fluide et sa silhouette raffinée. Confectionnée en laine bleu marine, elle présente une rangée de boutons dorés sur le devant, ajoutant une touche de sophistication. 

Les poches latérales et la ceinture subtilement intégrée soulignent le savoir-faire de la maison.La laine de cette jupe offre un tombé impeccable et une sensation de confort. Elle se marie parfaitement avec un chemisier en soie pour une allure chic ou un pull en cachemire pour un style décontracté.

Circa 1980s-1990s

Fabriqué en France

Taille : FR 40 - 42 / L

Mesures (à plat) : Tour de taille 41 cm · Hanches 52 cm · Longueur 66 cm

Matière : laine

Condition report : La jupe est en bon état avec quelques petites usures visibles, témoignant de son authenticité et de son histoire.

En raison de son caractère vintage, il peut présenter de très légères traces du temps, sans impact esthétique notable et imperceptibles une fois porté.

Découvrez d’autres pièces de la maison.","Saia evasé autêntica Yves Saint Laurent, uma peça que personifica a elegância intemporal com o seu corte fluido e silhueta refinada. Confecionada em lã azul-marinho, apresenta uma fila de botões dourados na frente, acrescentando um toque de sofisticação.

Os bolsos laterais e o cinto subtilmente integrado destacam o savoir-faire da maison. A lã proporciona um cair impecável e uma sensação confortável. Combina perfeitamente com uma blusa de seda para um visual elegante ou com uma camisola de caxemira para um estilo mais descontraído.

Cerca de 1980-1990

Fabricada em França

Tamanho: FR 40-42 / L

Medidas (em plano): cintura 41 cm · ancas 52 cm · comprimento 66 cm

Material: lã

Estado: a saia encontra-se em bom estado, com alguns pequenos sinais de desgaste visíveis, testemunho da sua autenticidade e história.

Por se tratar de uma peça vintage, pode apresentar marcas muito ligeiras do tempo, sem impacto estético significativo e impercetíveis quando vestida.

Descubra outras peças da maison.","Authentic Yves Saint Laurent flared skirt, a piece that embodies timeless elegance with its fluid cut and refined silhouette. Made from navy wool, it features a row of gold-tone buttons on the front, adding a sophisticated touch.

The side pockets and subtly integrated belt highlight the house’s craftsmanship. The wool gives the skirt an impeccable drape and comfortable feel. It pairs perfectly with a silk blouse for a chic look or a cashmere sweater for a more relaxed style.

Circa 1980s-1990s

Made in France

Size: FR 40-42 / L

Measurements (laid flat): waist 41 cm · hips 52 cm · length 66 cm

Material: wool

Condition report: the skirt is in good condition with a few small visible signs of wear, reflecting its authenticity and history.

Due to its vintage nature, it may show very slight signs of age, with no significant aesthetic impact and imperceptible when worn.

Discover other pieces from the house.","Auténtica falda evasé Yves Saint Laurent, una pieza que encarna la elegancia atemporal con su corte fluido y silueta refinada. Confeccionada en lana azul marino, presenta una hilera de botones dorados en la parte delantera que aporta un toque sofisticado.

Los bolsillos laterales y el cinturón sutilmente integrado destacan el savoir-faire de la maison. La lana ofrece una caída impecable y una sensación cómoda. Combina perfectamente con una blusa de seda para un look chic o con un jersey de cachemira para un estilo más relajado.

Circa años 1980-1990

Fabricada en Francia

Talla: FR 40-42 / L

Medidas (en plano): cintura 41 cm · caderas 52 cm · largo 66 cm

Material: lana

Estado: la falda está en buen estado, con algunos pequeños signos de uso visibles que reflejan su autenticidad e historia.

Por su carácter vintage, puede presentar huellas muy leves del paso del tiempo, sin impacto estético notable e imperceptibles una vez puesta.

Descubre otras piezas de la maison.","Authentique jupe évasée Yves Saint Laurent, cette pièce incarne l'élégance intemporelle avec sa coupe fluide et sa silhouette raffinée. Confectionnée en laine bleu marine, elle présente une rangée de boutons dorés sur le devant, ajoutant une touche de sophistication.

Les poches latérales et la ceinture subtilement intégrée soulignent le savoir-faire de la maison. La laine de cette jupe offre un tombé impeccable et une sensation de confort. Elle se marie parfaitement avec un chemisier en soie pour une allure chic ou un pull en cachemire pour un style décontracté.

Circa 1980s-1990s

Fabriquée en France

Taille : FR 40-42 / L

Mesures (à plat) : tour de taille 41 cm · hanches 52 cm · longueur 66 cm

Matière : laine

Condition report : la jupe est en bon état avec quelques petites usures visibles, témoignant de son authenticité et de son histoire.

En raison de son caractère vintage, elle peut présenter de très légères traces du temps, sans impact esthétique notable et imperceptibles une fois portée.

Découvrez d’autres pièces de la maison.",https://www.vinted.pt/items/9642476917,5,vinted_export/images/9642476917/01.webp | vinted_export/images/9642476917/02.webp | vinted_export/images/9642476917/03.webp | vinted_export/images/9642476917/04.webp | vinted_export/images/9642476917/05.webp,pt.bidnow@gmail.com,collectibles,Fashion,Used - Excellent,best-offer,30 days,flat-rate,15,no-returns,Lisboa,PT
9618938958,Jupe crayon Yves Saint Laurent en viscose marron motif serpent vintage authentique,55,EUR,"Authentique jupe crayon Yves Saint Laurent, cette pièce arbore une coupe élégante qui souligne la silhouette avec raffinement. Le motif serpent marron apporte une touche de caractère, tandis que la fermeture discrète et les finitions soignées témoignent du savoir-faire de la maison. 

Fabriquée en France, cette jupe incarne l'allure intemporelle des créations de la marque.Confectionnée en viscose et laine, cette jupe offre un tombé impeccable et une sensation agréable au toucher. Elle se marie parfaitement avec un chemisier en soie pour une allure sophistiquée ou un pull en cachemire pour un style plus décontracté.

Circa 1980s-1990s

Fabriqué en France

Taille : FR 40 / ML

Mesures (à plat) : Tour de taille 37 cm · Hanches 50 cm · Longueur 60 cm

Matière : viscose et laine

Condition report : Cette jupe est en très bon état, avec des signes d'usure légers mais peu visibles, préservant son élégance d'origine.

En raison de son caractère vintage, il peut présenter de très légères traces du temps, sans impact esthétique notable et imperceptibles une fois porté.

Explorez la boutique pour découvrir d’autres pièces soigneusement sélectionnées dans le même esprit.","Saia lápis autêntica Yves Saint Laurent, com um corte elegante que realça a silhueta de forma refinada. O padrão de serpente castanho acrescenta carácter, enquanto o fecho discreto e os acabamentos cuidados demonstram o savoir-faire da maison.

Fabricada em França, esta saia incorpora a estética intemporal das criações da marca. Confecionada em viscose e lã, oferece um cair impecável e um toque agradável. Combina perfeitamente com uma blusa de seda para um visual sofisticado ou com uma camisola de caxemira para um estilo mais descontraído.

Cerca de 1980-1990

Fabricada em França

Tamanho: FR 40 / M-L

Medidas (em plano): cintura 37 cm · ancas 50 cm · comprimento 60 cm

Material: viscose e lã

Estado: muito bom estado, com sinais de desgaste ligeiros e pouco visíveis, preservando a elegância original.

Por se tratar de uma peça vintage, pode apresentar marcas muito ligeiras do tempo, sem impacto estético significativo e impercetíveis quando vestida.

Explore a loja para descobrir outras peças cuidadosamente selecionadas no mesmo espírito.","Authentic Yves Saint Laurent pencil skirt with an elegant cut that flatters the silhouette. The brown snakeskin pattern adds character, while the discreet closure and careful finishing showcase the house’s craftsmanship.

Made in France, this skirt embodies the timeless appeal of the brand’s creations. Crafted from viscose and wool, it has an impeccable drape and pleasant feel. It pairs perfectly with a silk blouse for a sophisticated look or a cashmere sweater for a more relaxed style.

Circa 1980s-1990s

Made in France

Size: FR 40 / M-L

Measurements (laid flat): waist 37 cm · hips 50 cm · length 60 cm

Material: viscose and wool

Condition report: very good condition, with light, barely visible signs of wear that preserve its original elegance.

Due to its vintage nature, it may show very slight signs of age, with no significant aesthetic impact and imperceptible when worn.

Explore the shop to discover other carefully selected pieces in the same spirit.","Auténtica falda lápiz Yves Saint Laurent, con un corte elegante que realza la silueta con refinamiento. El estampado de serpiente marrón aporta carácter, mientras que el cierre discreto y los acabados cuidados reflejan el savoir-faire de la maison.

Fabricada en Francia, esta falda encarna el atractivo atemporal de las creaciones de la marca. Confeccionada en viscosa y lana, ofrece una caída impecable y un tacto agradable. Combina perfectamente con una blusa de seda para un look sofisticado o con un jersey de cachemira para un estilo más relajado.

Circa años 1980-1990

Fabricada en Francia

Talla: FR 40 / M-L

Medidas (en plano): cintura 37 cm · caderas 50 cm · largo 60 cm

Material: viscosa y lana

Estado: muy buen estado, con ligeros signos de uso poco visibles, conservando su elegancia original.

Por su carácter vintage, puede presentar huellas muy leves del paso del tiempo, sin impacto estético notable e imperceptibles una vez puesta.

Explora la tienda para descubrir otras piezas cuidadosamente seleccionadas con el mismo espíritu.","Authentique jupe crayon Yves Saint Laurent, cette pièce arbore une coupe élégante qui souligne la silhouette avec raffinement. Le motif serpent marron apporte une touche de caractère, tandis que la fermeture discrète et les finitions soignées témoignent du savoir-faire de la maison.

Fabriquée en France, cette jupe incarne l'allure intemporelle des créations de la marque. Confectionnée en viscose et laine, elle offre un tombé impeccable et une sensation agréable au toucher. Elle se marie parfaitement avec un chemisier en soie pour une allure sophistiquée ou un pull en cachemire pour un style plus décontracté.

Circa 1980s-1990s

Fabriquée en France

Taille : FR 40 / M-L

Mesures (à plat) : tour de taille 37 cm · hanches 50 cm · longueur 60 cm

Matière : viscose et laine

Condition report : cette jupe est en très bon état, avec des signes d'usure légers mais peu visibles, préservant son élégance d'origine.

En raison de son caractère vintage, elle peut présenter de très légères traces du temps, sans impact esthétique notable et imperceptibles une fois portée.

Explorez la boutique pour découvrir d’autres pièces soigneusement sélectionnées dans le même esprit.",https://www.vinted.pt/items/9618938958,5,vinted_export/images/9618938958/01.webp | vinted_export/images/9618938958/02.webp | vinted_export/images/9618938958/03.webp | vinted_export/images/9618938958/04.webp | vinted_export/images/9618938958/05.webp,pt.bidnow@gmail.com,collectibles,Fashion,Used - Excellent,best-offer,30 days,flat-rate,15,no-returns,Lisboa,PT
